Problem,HeuristicName,N,d/N,Success(Y/N),Time(ms),EBF,avg H value, min Depth, max Depth,Puzzle-Solution
27,Blockers&TargetVehicleDist,1963,0.013833992,Y,144,1.261566162,7.153336729,1,26, PU2 --> ER1 --> OD2 --> BR2 --> CR2 --> DU2 --> XR1 --> AD4 --> XL1 --> DD2 --> CL3 --> BL3 --> DU2 --> OU2 --> EL4 --> OD2 --> DD2 --> CR3 --> DU2 --> XR1 --> ER1 --> AU3 --> EL1 --> FU1 --> RL3 --> PD3 --> OD1 --> XR3 --> END
28,Blockers&TargetVehicleDist,548,0.051813472,Y,29,1.172439575,6.465328467,1,28, AD1 --> OR3 --> PU1 --> QU1 --> GR2 --> FR2 --> DD1 --> CD1 --> EL3 --> AD1 --> BL1 --> QU1 --> RR1 --> PD2 --> BL3 --> PU2 --> AU1 --> ER3 --> DU1 --> CU1 --> FL2 --> PD3 --> OL3 --> AU1 --> XR3 --> GL1 --> PU2 --> RL1 --> QD2 --> XR1 --> END
29,Blockers&TargetVehicleDist,3779,0.007958922,Y,279,1.259399414,8.796771633,1,29, BU1 --> ER1 --> GU3 --> EL1 --> HU1 --> RR3 --> CD1 --> DL1 --> FR2 --> AD3 --> XR1 --> DR1 --> OR1 --> CU4 --> DL1 --> XL1 --> AU3 --> RL3 --> FL2 --> HD1 --> ER1 --> GD3 --> EL2 --> PD3 --> OR2 --> AU1 --> XR3 --> AD1 --> OL2 --> BU1 --> XR1 --> END
30,Blockers&TargetVehicleDist,949,0.034446764,Y,58,1.173477173,3.726027397,1,31, DR1 --> CR1 --> FR1 --> ER1 --> OD3 --> XL1 --> AD1 --> PL1 --> QU3 --> DR1 --> FR1 --> BD3 --> DL1 --> QD1 --> PR1 --> AU1 --> XR3 --> OU3 --> CL1 --> EL1 --> AD4 --> CR1 --> OD1 --> PL3 --> QU1 --> DR1 --> XL2 --> BU4 --> XR2 --> DL1 --> FL1 --> QD3 --> XR1 --> END
31,Blockers&TargetVehicleDist,3389,0.011179759,Y,215,1.191383362,6.524638536,1,36, AR1 --> DU2 --> XL1 --> QU2 --> FR3 --> QD2 --> XR1 --> DD4 --> AL1 --> XL1 --> QU3 --> EL3 --> QD3 --> XR1 --> BD1 --> CL1 --> PU1 --> FR1 --> BD1 --> XR2 --> QU3 --> ER1 --> DU3 --> EL1 --> QD3 --> AR1 --> DU1 --> XL3 --> QU2 --> BU1 --> FL4 --> BD1 --> QD2 --> XR3 --> QU2 --> RL2 --> PD2 --> XR1 --> END
32,Blockers&TargetVehicleDist,490,0.076612903,Y,27,1.116355896,6.291836735,1,36, BD1 --> CL1 --> PU3 --> FR1 --> KU1 --> HR4 --> DD1 --> EL1 --> OD3 --> XR1 --> KD1 --> FL1 --> PD1 --> CR1 --> BU1 --> XR2 --> OU3 --> ER1 --> DU3 --> EL1 --> OD3 --> AR1 --> DU1 --> XL3 --> BD1 --> CL1 --> PU1 --> FR1 --> KU1 --> OU2 --> HL4 --> KD1 --> FL1 --> PD3 --> OD2 --> CR1 --> BU1 --> XR4 --> END
33,Blockers&TargetVehicleDist,1963,0.020686176,Y,118,1.153816223,7.291900153,1,39, BL1 --> PU3 --> ER1 --> GU3 --> QR1 --> ID1 --> DL1 --> EL2 --> HU3 --> ER2 --> FR3 --> GD2 --> QR2 --> RD3 --> XR2 --> AD1 --> BL3 --> HU1 --> XR1 --> RU3 --> DR1 --> IU3 --> DL1 --> RD3 --> BR2 --> AU1 --> IU1 --> XL3 --> GU1 --> RU2 --> FL4 --> RD2 --> XR1 --> GD1 --> XR2 --> RU2 --> QL3 --> GD1 --> EL1 --> PD3 --> XR1 --> END
34,Blockers&TargetVehicleDist,3841,0.011198778,Y,233,1.16204071,7.247591773,1,42, XR1 --> AD1 --> RL3 --> BU1 --> HR1 --> DD1 --> CU1 --> PU1 --> QR3 --> EU1 --> IR1 --> AD3 --> XL1 --> EU2 --> QL3 --> DU2 --> FL3 --> DD2 --> PD2 --> BD1 --> RR3 --> EU1 --> XR1 --> QR1 --> AU4 --> XL1 --> ED1 --> RL2 --> CU1 --> FL1 --> PU2 --> QR2 --> IL1 --> ED3 --> XR1 --> AD1 --> RL1 --> BU1 --> XR2 --> QL3 --> DU1 --> HL1 --> PD3 --> XR1 --> END
35,Blockers&TargetVehicleDist,3724,0.011405836,Y,268,1.165672302,8.047798067,1,41, PD1 --> AR1 --> BU1 --> GR1 --> KD1 --> QL1 --> EU2 --> FU3 --> DR3 --> GR3 --> ED2 --> BD1 --> AL1 --> PU1 --> QR3 --> OD3 --> XR1 --> KU4 --> XL1 --> OU3 --> QL3 --> PD1 --> AR1 --> BU1 --> EU2 --> DL4 --> GL4 --> FD3 --> ED2 --> BD1 --> AL1 --> PU1 --> QR3 --> OD3 --> AL2 --> BU1 --> XR3 --> KD1 --> AL1 --> OU3 --> QL3 --> PD3 --> XR1 --> END
36,Blockers&TargetVehicleDist,1817,0.024469821,Y,92,1.137397766,3.023115025,1,42, XR1 --> DD1 --> RR2 --> OD1 --> PL1 --> AL1 --> QU1 --> CR1 --> RR1 --> EU3 --> RL2 --> QD1 --> AR1 --> PR1 --> OU1 --> RL1 --> DU1 --> GR4 --> DD1 --> RR2 --> OD2 --> PL1 --> AL1 --> QU1 --> RR1 --> ED3 --> RL1 --> QD1 --> AR1 --> PR1 --> BD3 --> OU2 --> RL2 --> CL2 --> XL2 --> DU3 --> RR2 --> OD1 --> PL1 --> DU1 --> XR2 --> GL1 --> FL1 --> QD2 --> XR1 --> END
37,Blockers&TargetVehicleDist,1612,0.027614571,Y,105,1.123382568,7.15942928,1,45, GR1 --> QD1 --> XL1 --> BD1 --> CL2 --> PU1 --> OU1 --> RR2 --> BD2 --> XR1 --> QU1 --> GL1 --> BD1 --> RL2 --> OD1 --> CR1 --> AR1 --> DR1 --> QU2 --> RL1 --> EU3 --> RR1 --> QD2 --> AL1 --> CL1 --> OU1 --> RR2 --> BU1 --> DL1 --> GR1 --> QD1 --> XL1 --> BU2 --> RL2 --> PD1 --> FL2 --> OD2 --> CR2 --> BU1 --> EU1 --> XR2 --> QU1 --> GL1 --> HL2 --> OD1 --> PD2 --> XR2 --> END
38,Blockers&TargetVehicleDist,2938,0.016492763,Y,188,1.129165649,6.303607897,1,48, OL2 --> RU2 --> ER1 --> GR1 --> CD2 --> BR2 --> DU1 --> FU1 --> QL3 --> CD1 --> EL1 --> RD1 --> OR2 --> DU1 --> XR3 --> AD3 --> XL3 --> DD1 --> OL2 --> RU1 --> ER1 --> CU1 --> QR3 --> FD1 --> DD1 --> AD1 --> BL3 --> DU1 --> CU2 --> EL4 --> DD1 --> CD1 --> BR3 --> RD1 --> OR2 --> DU2 --> XR1 --> ER1 --> AU4 --> EL1 --> XL1 --> FU2 --> GL4 --> FD1 --> QL3 --> CD2 --> XR3 --> RD2 --> XR1 --> END
39,Blockers&TargetVehicleDist,3503,0.014212621,Y,194,1.124046326,5.508135884,1,51, IR2 --> HR1 --> CD2 --> AD2 --> OL1 --> RU2 --> ER1 --> HR1 --> BD3 --> EL1 --> RD1 --> OR1 --> AU2 --> XR3 --> AD1 --> OL1 --> RU1 --> ER1 --> DR2 --> GU4 --> FU4 --> DL2 --> EL1 --> RD1 --> OR1 --> AU1 --> XL3 --> AD1 --> OL1 --> RU1 --> ER1 --> BU3 --> EL1 --> RD1 --> OR1 --> AU1 --> CU2 --> HL4 --> CD1 --> AD1 --> OL1 --> RU1 --> ER1 --> IL3 --> BD3 --> EL1 --> RD3 --> OR1 --> AU1 --> XR4 --> END
40,Blockers&TargetVehicleDist,2448,0.020343039,Y,141,1.121192932,4.392973856,1,49, IR1 --> PU1 --> ED1 --> QR3 --> FU1 --> HR1 --> OD3 --> AL1 --> DU1 --> CD2 --> XL3 --> DD1 --> BD1 --> AR3 --> DU1 --> XR2 --> OU3 --> HL1 --> CU3 --> FD1 --> QL3 --> PD1 --> AR1 --> XL1 --> EU4 --> XR1 --> QR2 --> CD3 --> XL1 --> ED1 --> AL1 --> PU1 --> QR1 --> FU1 --> HR1 --> OD3 --> XL1 --> DD1 --> AL3 --> EU1 --> BU1 --> DU1 --> XR3 --> OU2 --> HL1 --> FD1 --> QL1 --> IL1 --> GL1 --> PD3 --> XR1 --> END
