Problem,HeuristicName,N,d/N,Success(Y/N),Time(ms),EBF,avg H value, min Depth, max Depth,Puzzle-Solution
18,TargetVehicleDistance,1492,0.01676727,Y,83,1.27155304,3.396112601,1,24, QR2 --> DR3 --> RR3 --> PD1 --> XL1 --> BD4 --> XR1 --> AR1 --> CR1 --> PU3 --> QL3 --> OD2 --> AR3 --> CR3 --> OU2 --> QR3 --> PD3 --> XL1 --> BU4 --> XR1 --> PU3 --> RL3 --> QL3 --> OD3 --> XR3 --> END
19,TargetVehicleDistance,465,0.047311828,Y,30,1.256095886,3.195698925,1,20, DU2 --> XL2 --> AD1 --> BL1 --> EL2 --> JU1 --> FU1 --> OR2 --> AD3 --> XR2 --> ER2 --> DD4 --> EL2 --> BL2 --> XL2 --> AU4 --> XR2 --> ER2 --> DU2 --> OL2 --> FD1 --> XR2 --> END
20,TargetVehicleDistance,818,0.012702079,Y,65,1.707344055,3.112469438,1,11, CD1 --> BR3 --> DU2 --> EU2 --> FL3 --> CD1 --> QL3 --> ED1 --> XR3 --> PD1 --> XR1 --> END
21,TargetVehicleDistance,249,0.084677419,Y,20,1.20753479,3.289156627,1,20, PD2 --> QR2 --> XL1 --> BD4 --> XR1 --> AR1 --> PU3 --> QL3 --> OD1 --> AR3 --> OU1 --> QR3 --> PD3 --> XL1 --> BU4 --> XR1 --> PU3 --> QL3 --> RL3 --> OD3 --> XR3 --> END
22,TargetVehicleDistance,2931,0.00887372,Y,141,1.29750824,3.236096895,1,25, GR1 --> BU1 --> XL1 --> AD3 --> XR1 --> BD1 --> OL3 --> PU1 --> EL1 --> HU2 --> QR2 --> DD1 --> AD1 --> EL3 --> GR1 --> PD2 --> CL3 --> PU2 --> HU2 --> ER4 --> AU1 --> FU1 --> DU1 --> QL3 --> PD3 --> XR3 --> END
23,TargetVehicleDistance,1614,0.018913972,Y,92,1.206878662,3.66047088,1,30, QL2 --> DD1 --> EL1 --> PD1 --> OR1 --> AU1 --> XL3 --> AD1 --> OL2 --> PU1 --> ER1 --> DU1 --> QR3 --> CD1 --> AD1 --> BL3 --> DU2 --> EL1 --> PD1 --> OR2 --> AU2 --> EL3 --> CU2 --> FL4 --> CD1 --> XR1 --> QL3 --> DD3 --> XR2 --> PD2 --> XR1 --> END
24,TargetVehicleDistance,3919,0.006359705,Y,274,1.332489014,2.95458025,1,24, DU2 --> CU1 --> XL2 --> AD1 --> BL1 --> EU2 --> FL1 --> GU2 --> HR4 --> OR3 --> AD3 --> FR2 --> XR2 --> CD4 --> DD4 --> FL2 --> BL2 --> XL2 --> AU4 --> XR2 --> FR2 --> CU3 --> OL2 --> GD1 --> XR2 --> END
25,TargetVehicleDistance,7651,0.003643461,Y,391,1.307113647,3.223238792,1,28, CL1 --> EU1 --> OU1 --> QR2 --> PD1 --> XL1 --> BD4 --> XR1 --> AR1 --> DR1 --> PU3 --> QL3 --> GU3 --> QR3 --> PD3 --> DL1 --> AL1 --> IL1 --> XL1 --> BU4 --> QL2 --> HL2 --> OD3 --> CR1 --> GU1 --> XR2 --> ED2 --> XR2 --> END
26,TargetVehicleDistance,4321,0.006473988,Y,231,1.276908875,3.055311271,1,28, DU1 --> GU1 --> HR1 --> ED1 --> RL1 --> CD3 --> XR1 --> AD1 --> OL3 --> PU1 --> RR2 --> AD3 --> RL2 --> XL1 --> CU4 --> XR1 --> HL1 --> GD1 --> RR3 --> FU1 --> EU1 --> AU3 --> HL3 --> FD1 --> RL2 --> PD3 --> DU1 --> XR2 --> END
27,TargetVehicleDistance,2261,0.012831858,Y,131,1.243095398,3.700574967,1,28, PU2 --> ER1 --> OD2 --> BR2 --> CR2 --> DU2 --> XR1 --> AD4 --> XL1 --> DD2 --> BL3 --> CL3 --> OU2 --> DU1 --> EL4 --> DD1 --> OD2 --> CR3 --> DU2 --> XR1 --> ER1 --> AU3 --> EL1 --> FU1 --> RL3 --> OD1 --> XR2 --> PD3 --> XR1 --> END
28,TargetVehicleDistance,1097,0.026785714,Y,47,1.197319031,3.689152233,1,29, QU1 --> GR2 --> FR2 --> AD1 --> CD1 --> OR3 --> DD1 --> PU1 --> EL3 --> AD1 --> BL1 --> QU1 --> RR1 --> PD2 --> BL3 --> PU2 --> AU1 --> ER3 --> DU1 --> CU1 --> FL2 --> PD3 --> OL3 --> AU1 --> XR3 --> PU2 --> GL2 --> RL1 --> QD2 --> XR1 --> END
29,TargetVehicleDistance,4268,0.007467911,Y,211,1.242454529,3.770149953,1,31, BU1 --> ER1 --> GU3 --> EL1 --> HU1 --> RR3 --> CD1 --> DL1 --> FR2 --> AD3 --> XR1 --> OR1 --> DR1 --> CU4 --> DL1 --> XL1 --> AU3 --> RL3 --> HD1 --> ER1 --> FL2 --> GD3 --> EL2 --> PD3 --> OR2 --> AU1 --> BD1 --> XR3 --> AD1 --> OL2 --> BU2 --> XR1 --> END
30,TargetVehicleDistance,1073,0.030442804,Y,60,1.171821594,2.319664492,1,32, QU2 --> FR2 --> DR1 --> CR1 --> ER1 --> OD3 --> XL1 --> AD1 --> PL1 --> QU1 --> DR1 --> BD3 --> DL1 --> QD2 --> PR1 --> AU1 --> XR3 --> OU3 --> EL1 --> CL1 --> AD4 --> CR1 --> OD1 --> PL3 --> QU2 --> DR1 --> XL2 --> BU4 --> XR2 --> FL1 --> DL1 --> QD3 --> XR1 --> END
31,TargetVehicleDistance,3526,0.010737496,Y,173,1.192939758,3.541123086,1,36, AR1 --> DU2 --> XL1 --> QU2 --> FR3 --> QD2 --> XR1 --> DD4 --> AL1 --> XL1 --> QU3 --> EL3 --> QD3 --> XR1 --> BD1 --> CL1 --> PU1 --> FR1 --> BD1 --> XR2 --> QU3 --> ER1 --> DU3 --> EL1 --> QD3 --> AR1 --> DU1 --> XL3 --> QU2 --> BU1 --> FL4 --> QD2 --> BD1 --> XR3 --> QU2 --> RL1 --> PD2 --> XR1 --> END
32,TargetVehicleDistance,558,0.068100358,Y,27,1.104774475,3.577060932,1,40, BD1 --> CL1 --> PU3 --> FR1 --> KU1 --> HR4 --> DD1 --> EL1 --> OD3 --> XR1 --> KD1 --> FL1 --> PD1 --> CR1 --> BU1 --> XR2 --> OU3 --> ER1 --> DU3 --> EL1 --> OD3 --> AR1 --> DU1 --> XL3 --> BD1 --> CL1 --> PU1 --> FR1 --> KU1 --> OU2 --> HL4 --> KD1 --> FL1 --> PD3 --> CR1 --> BU1 --> OD2 --> XR4 --> END
33,TargetVehicleDistance,3001,0.014,Y,148,1.158065796,3.673442186,1,41, BL1 --> PU3 --> ER1 --> GU3 --> QR1 --> ID1 --> DL1 --> EL2 --> HU3 --> FR3 --> ER2 --> QR2 --> RD3 --> BL1 --> GD2 --> XR2 --> HU1 --> XR1 --> AD1 --> BL2 --> RU3 --> DR1 --> IU3 --> DL1 --> RD3 --> BR2 --> IU1 --> AU1 --> XL3 --> GU1 --> RU2 --> FL4 --> RD2 --> XR1 --> GD1 --> XR2 --> RU1 --> QL3 --> GD1 --> EL1 --> PD3 --> XR1 --> END
34,TargetVehicleDistance,4255,0.010314112,Y,198,1.159896851,3.495887192,1,43, XR1 --> AD1 --> HR1 --> RL3 --> CU1 --> DD1 --> PU1 --> QR3 --> BU1 --> AD2 --> XL1 --> EU3 --> IR1 --> AD1 --> QL3 --> DU2 --> FL3 --> DD2 --> PD1 --> BD1 --> RR3 --> EU1 --> XR1 --> QR1 --> AU4 --> XL1 --> ED1 --> RL2 --> IL1 --> PU1 --> FL1 --> QR2 --> ED3 --> XR1 --> AD1 --> QL3 --> DU1 --> HL1 --> RL1 --> CD2 --> BU1 --> XR2 --> PD3 --> XR1 --> END
35,TargetVehicleDistance,3849,0.011174636,Y,207,1.161369324,3.721226293,1,42, GR1 --> PD1 --> KD1 --> AR1 --> BU1 --> FU3 --> QL1 --> EU2 --> GR3 --> DR3 --> ED2 --> BD1 --> AL1 --> PU1 --> QR3 --> OD3 --> XR1 --> KU4 --> XL1 --> OU3 --> QL3 --> PD1 --> AR1 --> BU1 --> EU2 --> DL4 --> GL4 --> ED2 --> BD1 --> AL1 --> PU1 --> FD3 --> QR3 --> OD3 --> XR1 --> KD1 --> AL3 --> BU1 --> XR2 --> OU3 --> QL3 --> PD3 --> XR1 --> END
36,TargetVehicleDistance,2114,0.020804438,Y,96,1.134429932,2.061967833,1,44, XR1 --> DD1 --> RR1 --> OD2 --> PL1 --> AL1 --> QU1 --> RR2 --> CR1 --> EU3 --> RL1 --> QD1 --> AR1 --> PR1 --> OU2 --> RL2 --> DU1 --> GR4 --> DD1 --> RR1 --> OD2 --> PL1 --> AL1 --> QU1 --> RR2 --> BD3 --> ED3 --> RL2 --> QD1 --> AR1 --> PR1 --> OU2 --> RL1 --> CL2 --> XL2 --> DU3 --> RR2 --> OD2 --> PL1 --> DU1 --> XR2 --> GL1 --> FL1 --> QD2 --> XR1 --> END
37,TargetVehicleDistance,1925,0.024327122,Y,86,1.120300293,3.353246753,1,47, GR1 --> QD1 --> XL1 --> BD1 --> CL2 --> OU1 --> PU1 --> RR2 --> BD2 --> XR1 --> DR1 --> QU2 --> GL1 --> BD1 --> RL2 --> OD1 --> CR1 --> AR1 --> QU1 --> RL1 --> EU3 --> RR1 --> QD2 --> AL1 --> CL1 --> OU1 --> RR2 --> BU1 --> GR1 --> DL1 --> QD1 --> XL1 --> BU2 --> RL2 --> PD1 --> OD1 --> CR2 --> BU1 --> EU1 --> XR2 --> FL3 --> QU1 --> GL1 --> HL2 --> PD2 --> OD2 --> XR2 --> END
38,TargetVehicleDistance,3214,0.015479876,Y,162,1.128120422,3.431238332,1,49, OL1 --> RU2 --> ER1 --> GR1 --> CD2 --> BR2 --> DU1 --> FU1 --> QL3 --> CD1 --> EL1 --> RD1 --> OR1 --> DU1 --> XR3 --> AD3 --> XL3 --> DD1 --> OL2 --> RU1 --> ER1 --> CU1 --> QR3 --> FD1 --> DD1 --> BL3 --> DU1 --> AD1 --> CU2 --> EL4 --> RD1 --> CD1 --> DD1 --> BR3 --> OR2 --> DU2 --> XR1 --> ER1 --> AU4 --> EL1 --> XL1 --> FU2 --> GL4 --> FD1 --> XR1 --> CD1 --> XR2 --> QL3 --> RD2 --> XR1 --> END
39,TargetVehicleDistance,3566,0.013919822,Y,183,1.124588013,3.063095906,1,51, IR2 --> HR1 --> CD2 --> AD1 --> OL2 --> RU2 --> HR1 --> ER1 --> BD3 --> EL2 --> RD1 --> OR2 --> AU1 --> XR3 --> AD1 --> OL1 --> RU1 --> ER2 --> DR2 --> FU4 --> GU4 --> DL2 --> EL1 --> RD1 --> OR1 --> AU1 --> XL3 --> AD1 --> OL1 --> RU1 --> ER1 --> BU3 --> EL1 --> RD1 --> OR1 --> AU1 --> CU2 --> HL4 --> CD1 --> AD1 --> OL1 --> RU1 --> ER1 --> IL3 --> BD3 --> EL1 --> RD3 --> OR1 --> AU1 --> XR4 --> END
40,TargetVehicleDistance,2631,0.019079686,Y,153,1.1198349,2.266438616,1,50, IR1 --> ED1 --> PU1 --> QR3 --> FU1 --> HR1 --> OD3 --> CD2 --> AL1 --> DU1 --> XL3 --> DD1 --> BD1 --> AR3 --> DU1 --> XR2 --> OU3 --> HL1 --> FD1 --> CU3 --> QL3 --> PD1 --> AR1 --> XL1 --> EU4 --> XR1 --> QR2 --> CD3 --> XL1 --> ED1 --> AL1 --> PU1 --> QR1 --> FU1 --> HR1 --> OD3 --> XL1 --> DD1 --> AL3 --> EU1 --> DU1 --> BU1 --> XR3 --> OU2 --> HL1 --> FD1 --> GL1 --> QL1 --> IL1 --> PD3 --> XR1 --> END
