Problem,HeuristicName,N,d/N,Success(Y/N),Time(ms),EBF,avg H value, min Depth, max Depth,Puzzle-Solution
1,TargetVehicleDistance,762,0.011734029,Y,201,2.118276596,2.992125984,1,8, AR2 --> PU1 --> BU1 --> RL2 --> CL3 --> QD2 --> XR2 --> OD3 --> XR1 --> END
2,TargetVehicleDistance,975,0.00872093,Y,127,2.208072662,3.237948718,1,8, XR1 --> AD1 --> OL3 --> CU2 --> BU1 --> XR2 --> EL1 --> PD2 --> XR1 --> END
3,TargetVehicleDistance,460,0.030864198,Y,62,1.427780151,3.508695652,1,14, PU3 --> OU2 --> AR3 --> BU1 --> CL1 --> OD3 --> XR1 --> BU3 --> XL1 --> OU3 --> AL3 --> OD3 --> XR2 --> PD3 --> XR1 --> END
4,TargetVehicleDistance,189,0.04787234,Y,15,1.728927612,3.354497354,1,8, OD3 --> XL1 --> AU3 --> XR1 --> OU3 --> QL3 --> RL2 --> PD3 --> XR3 --> END
5,TargetVehicleDistance,1281,0.0078125,Y,90,2.27510643,2.978922717,1,8, AR1 --> PU1 --> RL1 --> EL3 --> FL3 --> OD3 --> QD2 --> XR2 --> GD1 --> XR1 --> END
6,TargetVehicleDistance,1149,0.00952381,Y,80,1.875976563,3.567449956,1,10, XL1 --> EU3 --> XR1 --> DR1 --> FU2 --> RL3 --> OD2 --> QD1 --> XR2 --> PD2 --> XR1 --> END
7,TargetVehicleDistance,1952,0.006721075,Y,210,1.679046631,3.486168033,1,13, CD4 --> FD1 --> DD1 --> BR2 --> EU1 --> XR1 --> AD3 --> XL1 --> ED1 --> BL3 --> EU1 --> XR2 --> DU1 --> XR1 --> END
8,TargetVehicleDistance,866,0.014789534,Y,40,1.624839783,3.594688222,1,12, AL3 --> BL2 --> EU2 --> DU2 --> GL1 --> XR2 --> CU1 --> XR1 --> IU2 --> QL1 --> PL1 --> OD3 --> XR1 --> END
9,TargetVehicleDistance,481,0.02480916,Y,29,1.619552612,2.234927235,2,11, XR1 --> PU3 --> QL1 --> DD2 --> XR1 --> OD1 --> XR1 --> AD1 --> BL1 --> EL2 --> CL1 --> FU2 --> XR1 --> END
10,TargetVehicleDistance,1538,0.011612903,Y,210,1.43637085,2.133289987,2,17, XR2 --> CL1 --> OU1 --> QR2 --> BD4 --> DR1 --> AR1 --> PU2 --> QL3 --> OD1 --> CR1 --> XL2 --> EU4 --> XR2 --> FL1 --> HL1 --> OD2 --> XR1 --> END
11,TargetVehicleDistance,689,0.037790698,Y,116,1.211425781,3.316400581,1,25, OD3 --> XL1 --> BU2 --> QL2 --> EU3 --> RR1 --> QR2 --> BD3 --> XR1 --> OU3 --> QL3 --> PD2 --> AR3 --> PU2 --> QR3 --> OD3 --> XL1 --> BU4 --> XR1 --> OU3 --> QL3 --> RL3 --> PD3 --> XR2 --> ED3 --> XR1 --> END
12,TargetVehicleDistance,601,0.028239203,Y,70,1.376037598,2.946755408,1,16, BR2 --> PU1 --> QL2 --> CU3 --> RR3 --> QR2 --> PD3 --> XR2 --> AD4 --> BL3 --> CU1 --> XR1 --> PU3 --> QL3 --> RL1 --> OD3 --> XR1 --> END
13,TargetVehicleDistance,7359,0.002434736,Y,388,1.548446655,3.022693301,1,18, DD2 --> OU1 --> ED1 --> FR1 --> XL3 --> DU2 --> GU3 --> HL2 --> KL1 --> FL2 --> OD3 --> CD1 --> BR2 --> DU1 --> GU1 --> XR2 --> CD2 --> XR2 --> END
14,TargetVehicleDistance,5096,0.003426613,Y,348,1.558227539,2.860478807,1,17, EU1 --> DU1 --> HL2 --> IU1 --> KR3 --> ID1 --> HR2 --> DD3 --> ED3 --> HL2 --> XL2 --> BD2 --> CL4 --> BU2 --> FU2 --> XR3 --> GU2 --> XR1 --> END
15,TargetVehicleDistance,524,0.045889101,Y,17,1.206382751,3.095419847,1,24, IR1 --> HR1 --> RD1 --> QD1 --> XL2 --> FU1 --> EU1 --> GL2 --> OD1 --> PD1 --> DR2 --> AL1 --> EU2 --> XR1 --> BR1 --> FU2 --> XR1 --> RU1 --> QU1 --> HL2 --> IL2 --> OD1 --> PD1 --> XR2 --> END
16,TargetVehicleDistance,1740,0.011986301,Y,105,1.359306335,3.154597701,1,20, GR3 --> DD2 --> FD2 --> PD1 --> XL3 --> CD1 --> BR1 --> EL2 --> PU3 --> QL2 --> GL1 --> CD3 --> QR2 --> FU1 --> GL2 --> PD3 --> XR3 --> PU3 --> QL1 --> OD3 --> XR1 --> END
17,TargetVehicleDistance,1877,0.013326226,Y,90,1.32094574,3.840170485,1,22, BL1 --> PU2 --> FU2 --> GU2 --> QR3 --> RR3 --> DD2 --> XR1 --> ER1 --> AD4 --> EL1 --> OR2 --> BL1 --> XL1 --> DU4 --> XR1 --> ER1 --> AU2 --> QL3 --> RL3 --> FD2 --> PD2 --> XR2 --> GD1 --> XR1 --> END
